Mã,ROA (%),ROE (%),ROS (%),EBIT,EBITDA,EBIT Margin (%),EBITDA Margin (%),Gross Profit Margin (%),BEP (%),Revenue Growth (%),Net Income Growth (%),Interest Coverage Ratio,Total Assets Growth (%),Current Ratio,Quick Ratio,D/A (%),D/E (%),E/A (%),Inventory Turnover,Accounts Receivable Turnover,Working Capital Turnover,Total Asset Turnover
SHP,14.877279777206923,18.015597988242995,37.374259266418434,239193913407.6,357184219814.6,35.713091202098404,55.286703776330896,50.82576464017966,14.711024421536242,12.549343543878976,83.10202548187962,-15.72753064732197,-5.558171063577052,1.6687794139625844,1.6371350201555415,20.682760967624677,28.806149719412304,79.31723903237533,113.20335029959952,4.346669117780651,1.5941685003762596,0.39822043857371736
SHS,7.453090911713761,12.527068003914344,37.931019981857915,835822108684.2,843711739906.2,40.1003631442603,40.531892520565336,59.575698636317576,7.912438814607526,11.18002957226867,80.60937474813248,-8.796018627168683,21.226641273653946,5.6222771251630705,,28.380119537845566,49.456582692589656,71.61988046215444,,16.96652996247403,0.26849664662292394,0.18822521148968535
SHX,-15.28511612743028,-56.735934734888055,-50.513783786013754,-7418036725.0,-7418036725.0,-51.283988919819485,-51.283988919819485,46.36829345632976,-15.627837941398932,13.698050385008234,13.715500226851415,13.098065090294396,-10.166258413550576,5.128362410411782,5.089748148806648,69.48704552703674,271.68015099604105,30.51295447296327,89.00025221234853,0.6844369490660164,0.8116286193910776,0.3220160262712494
SID,1.9856632440774091,2.1102466877190182,58.68758852294668,53055322149.8,53055322149.8,63.503528502428125,63.503528502428125,67.33901975534874,2.1512350849115114,4.0406068814575935,627.8268847727105,,1.989231959791253,17.176748934000777,17.135251713266193,5.8703775606507165,6.237129675571245,94.12962243934928,77.86877992594513,0.49490517607587803,0.18463566514479435,0.03382053849685932
SIG,1.2529027926171241,4.193170926599073,6.962979261095358,-19105963820.5,-19105963820.5,-16.978536506532166,-16.978536506532166,38.78694791238813,-2.333594768565925,-31.498562899133514,-14.799206504416025,0.5560075265321507,-3.1895593400102076,1.0639038731157386,0.8741180836515849,69.02306231208331,225.95040178656924,30.97693768791669,4.327573893810433,0.7981075464901283,20.938512313830262,0.14025216666327175
SII,2.2158644536059002,4.211058171811781,20.5181502156904,-8114211775.6,86611081851.4,-15.036551807756997,27.267582904261946,-3.221567278683511,-1.1292044764634384,7.721710413043999,-476.0164889701898,-0.3798907661302577,3.2716651194559683,1.049485582881708,0.9896579254396247,45.35007231230868,85.55847435658816,54.64992768769132,14.674831210018372,3.489298697884037,-0.6152477490400418,0.10036695815187789
SIP,5.396025396298322,29.303112813662278,17.28737262744188,1275310725071.2,1660669091056.2,20.765095155954477,27.08289330202473,14.063481235532738,6.481517677939614,11.351010775085884,4.788034624980536,-54.41484034424546,10.749431381976724,4.177556928053322,3.978698576049805,81.3977699795943,439.36062370301715,18.602230020405706,14.630241465375622,1.6056985382027111,0.9475720275771153,0.3306900217873243
SIV,7.334754365336499,11.036708767377199,11.72560923777181,20024717884.5,20024717884.5,10.723307377033436,10.723307377033436,24.38241257017862,6.626495197565771,5.596809689397571,9.299124169887753,-6.754010949194955,2.5123373072028556,1.9801559020162862,1.2515276821094634,33.146524803648724,49.759106203127786,66.85347519635128,3.304229416451934,2.301945705064137,2.5291286199908662,0.6500911629792343
SJ1,1.4551741022229516,4.666148315887057,1.2657918345244106,-20043973698.2,-4554085381.2,-1.5585095183472009,-0.4056425944865062,7.424728872846218,-1.8096965605863713,14.49642452934134,39.933198927848814,0.46241019039059006,15.881036258031177,1.0854977566938497,0.6116010187080949,69.12915179704095,227.09875738781852,30.870848202959053,4.191616245601462,4.344992113311718,31.196661506991482,1.2323762123774913
SJC,-0.07074943942165453,-1.2804548544003118,-26.710819292486466,-2451026809.3333335,-2451026809.3333335,-48.24642772086617,-48.24642772086617,15.258984984741465,-0.14847259849592484,233.1502215619792,-443.61144934828934,2.1808833904744773,1.0654865572953285,1.8757155151810434,0.21056319720483632,94.03343257106188,1577.4366058606195,5.966567428938123,0.014257680170918144,0.19174914646981722,0.03593649464544493,0.016176885896717074
